ja;n;jp;s;sc;madm;mev;mabs;nro;nmate;lm;nlm;h;sp
B;IF11025759;ILFOV;ŞCOALA GIMNAZIALĂ DISCOVERY VOLUNTARI;118;8.42;8.35;8.72;7.50;9.20;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(219) Ştiinţe ale Naturii</b><br/>Limba română
B;B10969771;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 126;208;7.99;7.72;9.09;7.90;7.55;-;-;<b>Liceul cu Program Sportiv Mircea Eliade</b><br/>Umanist/Liceal/Zi;<b>(393) Ştiinţe Sociale</b><br/>Limba română
B;B10981026;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 126;208;7.73;7.37;9.18;7.95;6.80;-;-;<b>Liceul cu Program Sportiv Mircea Eliade</b><br/>Umanist/Liceal/Zi;<b>(393) Ştiinţe Sociale</b><br/>Limba română
B;B10858970;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Emil Racoviţă;162;7.87;7.50;9.39;7.20;7.80;-;-;<b>Colegiul Naţional Aurel Vlaicu</b><br/>Real/Liceal/Zi;<b>(117) Matematică-Informatică</b><br/>Limba română
B;B10915035;MUNICIPIUL BUCURESTI;Colegiul German Goethe;103;9.96;9.96;9.98;10.00;9.90;Limba germană;10.00;<b>Colegiul German Goethe</b><br/>Real/Liceal/Zi;<b>(120) Teor.real spec.germană</b><br/>Limba germană
B;B8773635;MUNICIPIUL BUCURESTI;Liceul Teoretic Nicolae Iorga;141;9.46;9.40;9.73;9.30;9.50;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Umanist/Liceal/Zi;<b>(195) Ştiinţe Sociale</b><br/>Limba română
B;IF10421018;ILFOV;ȘCOALA GIMNAZIALĂ ”ANTON PANN” VOLUNTARI;177;8.34;8.12;9.22;7.75;8.50;-;-;<b>Colegiul Economic ”A.D.Xenopol”</b><br/>Servicii/Liceal/Zi;<b>(242) Economic</b><br/>Limba română
B;B10736294;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Mărțișor”;327;8.09;7.70;9.66;8.00;7.40;-;-;<b>Colegiul Naţional Octav Onicescu</b><br/>Umanist/Liceal/Zi;<b>(307) Ştiinţe Sociale</b><br/>Limba română
B;B10739143;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 80;310;9.10;8.92;9.85;9.35;8.50;-;-;<b>Colegiul Național ”Cantemir Vodă”</b><br/>Real/Liceal/Zi;<b>(184) Ştiinţe ale Naturii</b><br/>Limba română
B;B10635981;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 81;311;9.51;9.40;9.99;9.15;9.65;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Real/Liceal/Zi;<b>(197) Ştiinţe ale Naturii</b><br/>Limba română/Limba engleză
B;B10652804;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 178;230;6.83;6.27;9.08;8.45;4.10;-;-;<b>Liceul Tehnologic ”Sfântul Pantelimon”</b><br/>Umanist/Liceal/Zi;<b>(233) Ştiinţe Sociale</b><br/>Limba română
B;B10904689;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 66;304;6.58;5.82;9.64;7.70;3.95;-;-;<b>Colegiul Tehnic Media</b><br/>Real/Liceal/Zi;<b>(160) Ştiinţe ale Naturii</b><br/>Limba română
B;B10875244;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 79;309;9.67;9.60;9.96;9.55;9.65;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Umanist/Liceal/Zi;<b>(323) Ştiinţe Sociale</b><br/>Limba română
B;B10613895;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 32;291;6.43;5.87;8.67;6.85;4.90;-;-;<b>Liceul cu Program Sportiv Mircea Eliade</b><br/>Real/Liceal/Zi;<b>(392) Ştiinţe ale Naturii</b><br/>Limba română
B;B10727048;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 41;295;7.94;7.55;9.53;6.60;8.50;-;-;<b>Liceul Teoretic Benjamin Franklin</b><br/>Real/Liceal/Zi;<b>(261) Ştiinţe ale Naturii</b><br/>Limba română
B;B10977188;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 165;280;6.54;5.80;9.51;6.95;4.65;-;-;<b>Liceul Tehnologic Mircea Vulcănescu</b><br/>Servicii/Liceal/Zi;<b>(318) Economic</b><br/>Limba română
B;IF9411735;ILFOV;ȘCOALA GIMNAZIALA NR. 1 BALOTESTI;122;9.20;9.05;9.84;8.90;9.20;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Real/Liceal/Zi;<b>(105) Matematică-Informatică</b><br/>Limba română
B;B11006470;MUNICIPIUL BUCURESTI;Liceul Teoretic Nicolae Iorga;141;8.57;8.45;9.06;8.80;8.10;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Real/Liceal/Zi;<b>(201) Matematică-Informatică</b><br/>Limba română/Limba franceză
B;B10810972;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Eugen Barbu;163;6.72;6.15;9.04;6.75;5.55;-;-;<b>Liceul Teoretic Bulgar Hristo Botev</b><br/>Umanist/Liceal/Zi;<b>(154) Filologie</b><br/>Limba română/Limba rusă
B;B11094533;MUNICIPIUL BUCURESTI;Școala Gimnazială Cezar Bolliac;269;9.11;8.95;9.76;9.30;8.60;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Umanist/Liceal/Zi;<b>(113) Filologie</b><br/>Limba română/Limba engleză
B;B10796445;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 56;302;9.81;9.77;9.97;9.60;9.95;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(320) Matematică-Informatică</b><br/>Limba română
B;B11087353;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 131;213;6.48;6.07;8.14;5.65;6.50;-;-;<b>Colegiul Tehnic Media</b><br/>Tehnic/Liceal/Zi;<b>(161) Producţie media</b><br/>Limba română
B;B9551279;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Sfântul Andrei;190;9.47;9.37;9.90;9.30;9.45;-;-;<b>Colegiul Naţional Grigore Moisil</b><br/>Umanist/Liceal/Zi;<b>(358) Filologie</b><br/>Limba română
B;B10702239;MUNICIPIUL BUCURESTI;Colegiul Naţional de Informatică Tudor Vianu;111;9.33;9.20;9.88;8.45;9.95;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(180) Matematică-Informatică</b><br/>Limba română
B;B10325503;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Elena Văcărescu;161;9.55;9.52;9.71;9.70;9.35;-;-;<b>Colegiul Național ”Mihai Viteazul”</b><br/>Real/Liceal/Zi;<b>(181) Ştiinţe ale Naturii</b><br/>Limba română
B;B9554826;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Petre Ghelmez;180;8.06;7.65;9.74;8.40;6.90;-;-;<b>Colegiul Economic ”A.D.Xenopol”</b><br/>Servicii/Liceal/Zi;<b>(242) Economic</b><br/>Limba română
B;B10822892;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 59;247;5.89;5.40;7.86;6.80;4.00;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Tehnic/Liceal/Zi;<b>(344) Mecanică</b><br/>Limba română
B;B10822258;MUNICIPIUL BUCURESTI;Colegiul Național ”Cantemir Vodă”;115;9.45;9.32;9.97;9.00;9.65;-;-;<b>Colegiul Național ”Cantemir Vodă”</b><br/>Real/Liceal/Zi;<b>(183) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;IF8299295;ILFOV;ŞCOALA GIMNAZIALĂ NR. 2 MOARA VLĂSIEI;121;5.73;5.00;8.69;6.40;3.60;-;-;<b>Colegiul Tehnologic Viaceslav Harnaj</b><br/>Resurse naturale și protecția mediului/Liceal/Zi;<b>(178) Agricultură</b><br/>Limba română
B;B10278286;MUNICIPIUL BUCURESTI;Școala Gimnazială Avram Iancu;255;6.66;6.27;8.25;6.20;6.35;-;-;<b>Liceul Tehnologic Mircea Vulcănescu</b><br/>Servicii/Liceal/Zi;<b>(318) Economic</b><br/>Limba română
B;B11087750;MUNICIPIUL BUCURESTI;Liceul Teoretic Alexandru Vlahuţă;130;6.53;5.82;9.40;5.80;5.85;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Umanist/Liceal/Zi;<b>(225) Ştiinţe Sociale</b><br/>Limba română
B;B11060156;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 82;312;4.62;3.77;8.03;5.00;2.55;-;-;<b>Colegiul Tehnic Mihai Bravu</b><br/>Servicii/Liceal/Zi;<b>(283) Turism şi alimentaţie</b><br/>Limba română
B;B10789545;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Sf. Silvestru”;328;7.60;7.07;9.76;5.70;8.45;-;-;<b>Colegiul Tehnic de Aeronautică Henri Coandă</b><br/>Real/Liceal/Zi;<b>(166) Matematică-Informatică</b><br/>Limba română
B;TR8842436;TELEORMAN;ȘCOALA GIMNAZIALĂ NR. 1 DOBROTEȘTI;163;8.26;7.92;9.65;9.00;6.85;-;-;<b>Colegiul Național ”Victor Babeș”</b><br/>Real/Liceal/Zi;<b>(207) Ştiinţe ale Naturii</b><br/>Limba română
B;B10647800;MUNICIPIUL BUCURESTI;Liceul Teoretic Alexandru Vlahuţă;130;7.36;6.90;9.21;6.80;7.00;-;-;<b>Liceul Teoretic ”Traian”</b><br/>Real/Liceal/Zi;<b>(223) Ştiinţe ale Naturii</b><br/>Limba română
B;DB8182404;DAMBOVITA;ȘCOALA GIMNAZIALĂ RĂCARI;195;8.41;8.05;9.86;8.90;7.20;-;-;<b>Colegiul Naţional Aurel Vlaicu</b><br/>Real/Liceal/Zi;<b>(118) Ştiinţe ale Naturii</b><br/>Limba română
B;B13591718;MUNICIPIUL BUCURESTI;Școala Gimnazială ”Maica Domnului”;326;7.15;6.57;9.48;6.25;6.90;-;-;<b>Colegiul Tehnic Feroviar Mihai I</b><br/>Real/Liceal/Zi;<b>(170) Matematică-Informatică</b><br/>Limba română
B;B12201318;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. Heliade Rădulescu;171;9.13;9.02;9.57;8.85;9.20;-;-;<b>Colegiul Naţional I.L.Caragiale</b><br/>Umanist/Liceal/Zi;<b>(113) Filologie</b><br/>Limba română/Limba engleză
B;B10736072;MUNICIPIUL BUCURESTI;Școala Gimnazială Leonardo Da Vinci;260;8.30;8.05;9.32;8.85;7.25;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B8041214;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 153;222;5.43;5.00;7.19;5.00;5.00;-;-;<b>Liceul Tehnologic Petru Poni</b><br/>Tehnic/Liceal/Zi;<b>(384) Electric</b><br/>Limba română
B;B9837635;MUNICIPIUL BUCURESTI;Liceul Teoretic Mihai Ionescu;147;9.12;8.95;9.81;9.25;8.65;-;-;<b>Colegiul Naţional Gheorghe Şincai</b><br/>Umanist/Liceal/Zi;<b>(299) Filologie</b><br/>Limba română
B;B10875309;MUNICIPIUL BUCURESTI;Liceul Teoretic Internațional de Informatică Bucuresti;146;8.50;8.22;9.64;9.15;7.30;-;-;<b>Liceul Teoretic ”C.A. Rosetti”</b><br/>Real/Liceal/Zi;<b>(218) Matematică-Informatică</b><br/>Limba română
B;IF10719364;ILFOV;ŞCOALA GIMNAZIALA NR. 2 VOLUNTARI;117;6.90;6.57;8.25;6.25;6.90;-;-;<b>Colegiul Economic ”Hermes”</b><br/>Servicii/Liceal/Zi;<b>(246) Comerţ</b><br/>Limba română
B;B10878208;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 79;309;9.60;9.52;9.93;9.55;9.50;-;-;<b>Colegiul Național ”Spiru Haret”</b><br/>Real/Liceal/Zi;<b>(191) Matematică-Informatică</b><br/>Limba română
B;B10904696;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 66;304;5.81;4.95;9.27;6.40;3.50;-;-;<b>Liceul Tehnologic ”Sfântul Pantelimon”</b><br/>Real/Liceal/Zi;<b>(232) Ştiinţe ale Naturii</b><br/>Limba română
B;IF8238185;ILFOV;ȘCOALA GIMNAZIALĂ NR. 2 CĂŢELU - GLINA;160;6.33;5.55;9.48;5.70;5.40;-;-;<b>Liceul Tehnologic Elie Radu</b><br/>Servicii/Liceal/Zi;<b>(287) Economic</b><br/>Limba română
B;B10727063;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Mircea Sântimbreanu;176;6.22;5.90;7.50;6.80;5.00;-;-;<b>Colegiul Tehnic ”Dimitrie Leonida”</b><br/>Real/Liceal/Zi;<b>(228) Ştiinţe ale Naturii</b><br/>Limba română
B;B10978531;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;9.04;8.85;9.80;9.15;8.55;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(252) Ştiinţe ale Naturii</b><br/>Limba română
B;B10886692;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 79;309;7.02;6.62;8.65;6.30;6.95;-;-;<b>Colegiul Economic ”Hermes”</b><br/>Servicii/Liceal/Zi;<b>(246) Comerţ</b><br/>Limba română
B;B10734121;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 127;209;6.50;5.85;9.13;6.20;5.50;-;-;<b>Liceul Tehnologic Dimitrie Gusti</b><br/>Umanist/Liceal/Zi;<b>(343) Ştiinţe Sociale</b><br/>Limba română
B;B10794336;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Regele Mihai I;184;7.26;6.80;9.14;7.05;6.55;-;-;<b>Liceul Teoretic Dimitrie Bolintineanu</b><br/>Umanist/Liceal/Zi;<b>(329) Filologie</b><br/>Limba română
B;B10919995;MUNICIPIUL BUCURESTI;Şcoala Gimnazială I. G. Duca;170;9.76;9.72;9.93;9.80;9.65;-;-;<b>Colegiul Naţional Gheorghe Lazăr</b><br/>Real/Liceal/Zi;<b>(321) Ştiinţe ale Naturii</b><br/>Limba română
B;B10778005;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 97;318;9.59;9.50;9.95;9.20;9.80;-;-;<b>Colegiul Naţional Ion Creangă</b><br/>Real/Liceal/Zi;<b>(301) Matematică-Informatică</b><br/>Limba română/Limba engleză
B;B13189752;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 39;292;4.39;3.47;8.07;3.95;3.00;-;-;<b>Liceul Teoretic Bulgar Hristo Botev</b><br/>Umanist/Liceal/Zi;<b>(152) Filologie</b><br/>Limba română/Limba bulgară
B;B9995396;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 190;236;8.63;8.35;9.77;9.15;7.55;-;-;<b>Colegiul Național Școala Centrală”</b><br/>Umanist/Liceal/Zi;<b>(203) Filologie</b><br/>Limba română/Limba franceză
B;B10651585;MUNICIPIUL BUCURESTI;Liceul Teoretic Bilingv Miguel de Cervantes;143;9.00;8.77;9.92;8.45;9.10;-;-;<b>Liceul Teoretic Bilingv Miguel de Cervantes</b><br/>Real/Liceal/Zi;<b>(146) Matematică-Informatică</b><br/>Limba română/Limba spaniolă
B;B10918641;MUNICIPIUL BUCURESTI;Şcoala Gimnazială nr. 119;205;6.79;6.67;7.31;7.15;6.20;-;-;<b>Liceul Dimitrie Paciurea</b><br/>Umanist/Liceal/Zi;<b>(179) Filologie</b><br/>Limba română
B;B10863240;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 79;309;9.34;9.22;9.83;9.55;8.90;-;-;<b>Colegiul Național Bilingv ”George Coșbuc”</b><br/>Umanist/Liceal/Zi;<b>(198) Filologie</b><br/>Limba română/Limba engleză
B;B10824976;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 55;301;5.42;5.00;7.14;5.00;5.00;-;-;<b>Liceul Teoretic Nichita Stănescu</b><br/>Real/Liceal/Zi;<b>(263) Matematică-Informatică</b><br/>Limba română
B;B10939667;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 149;279;8.56;8.32;9.53;8.60;8.05;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B10586930;MUNICIPIUL BUCURESTI;Liceul Teoretic Jean Monnet;137;7.07;6.60;8.95;7.45;5.75;-;-;<b>Liceul Teoretic Bilingv ”Ita Wegman”</b><br/>Real/Liceal/Zi;<b>(221) Ştiinţe ale Naturii</b><br/>Limba română/Limba germană
B;B10697601;MUNICIPIUL BUCURESTI;Colegiul Național Școala Centrală”;113;8.98;8.80;9.71;7.60;10.00;-;-;<b>Liceul Teoretic Alexandru Ioan Cuza</b><br/>Real/Liceal/Zi;<b>(251) Matematică-Informatică</b><br/>Limba română
B;IF7902853;ILFOV;ȘCOALA GIMNAZIALĂ NR. 1 CORNETU;144;8.17;7.75;9.86;7.70;7.80;-;-;<b>Școala Superioară Comercială Nicolae Kretzulescu</b><br/>Servicii/Liceal/Zi;<b>(270) Economic</b><br/>Limba română
B;B10683768;MUNICIPIUL BUCURESTI;Şcoala Gimnazială Nicolae Titulescu;178;9.87;9.85;9.96;9.95;9.75;-;-;<b>Colegiul Naţional Sfântul Sava</b><br/>Real/Liceal/Zi;<b>(101) Matematică-Informatică</b><br/>Limba română
B;B10775495;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 77;307;5.59;4.92;8.27;4.85;5.00;-;-;<b>Colegiul Tehnic Anghel Saligny</b><br/>Tehnic/Liceal/Zi;<b>(277) Construcţii, instalaţii şi lucrări publice</b><br/>Limba română
B;B10640522;MUNICIPIUL BUCURESTI;Școala Gimnazială nr. 77;307;5.50;4.80;8.33;5.60;4.00;-;-;<b>Colegiul Tehnic Anghel Saligny</b><br/>Tehnic/Liceal/Zi;<b>(278) Mecanică</b><br/>Limba română
